"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"4","Coforge (Niit Tech)","COFORGE","P&F | F.A","0.75%","6603.05","13,719"
"125","Shree Renuka Sugars Limited","RENUKA","P&F | F.A","0.75%","46.95","760,743"
"117","IDFC First Bank Ltd","IDFCFIRSTB","P&F | F.A","0.74%","81.65","1,860,121"
"73","Ntpc Limited","NTPC","P&F | F.A","0.7%","337.95","593,257"
"14","Pidilite Industries Limited","PIDILITIND","P&F | F.A","0.68%","2754.7","41,205"
"50","Ambuja Cements Limited","AMBUJACEM","P&F | F.A","0.67%","609.95","216,830"
"9","Adani Enterprises Limited","ADANIENT","P&F | F.A","0.66%","3307","85,562"
"32","Life Insurance Corporation of India","LICI","P&F | F.A","0.66%","1029.5","134,663"
"18","Dalmia Bharat Limited","DALBHARAT","P&F | F.A","0.63%","2037.75","13,184"
"92","Prism Johnson Ltd","PRSMJOHNSN","P&F | F.A","0.6%","175.6","22,667"
"5","Abb India Limited","ABB","P&F | F.A","0.59%","5476.95","26,968"
"37","Indian Railway Catering & Tourism Corporation Ltd","IRCTC","P&F | F.A","0.56%","932.6","138,849"
"106","Cesc Limited","CESC","P&F | F.A","0.47%","127.45","428,130"
"119","Indian Overseas Bank","IOB","P&F | F.A","0.46%","64.95","1,014,924"
"3","Dixon Technologies","DIXON","P&F | F.A","0.43%","6712.9","14,403"
"84","Ircon International Ltd","IRCON","P&F | F.A","0.41%","230.1","522,228"
"80","Indus Towers Ltd (Bharti Infratel)","INDUSTOWER","P&F | F.A","0.36%","253.7","2,712,553"
"110","Idfc Limited","IDFC","P&F | F.A","0.34%","116.85","267,919"
"39","Just Dial Limited","JUSTDIAL","P&F | F.A","0.2%","925.25","11,236"
"26","Clean Science & Technology Ltd","CLEAN","P&F | F.A","0.18%","1415.95","3,332"
"35","Anupam Rasayan India Ltd","ANURAS","P&F | F.A","0.14%","957.6","3,426"
