Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
06-Apr-23,EQ,36.80,38.00,36.25,36.95,37.65,37.70,37.11,43.75,26.55,8246881.00,306079966.50,15193.00
05-Apr-23,EQ,37.00,37.75,36.45,35.65,36.90,36.95,37.10,43.75,26.55,18383529.00,682032168.90,31327.00
03-Apr-23,EQ,35.45,36.10,35.30,35.45,35.70,35.65,35.70,43.75,26.55,4021505.00,143569572.55,11380.00
31-Mar-23,EQ,35.20,36.15,34.60,35.25,35.40,35.45,35.47,43.75,26.55,10007186.00,354906432.50,19660.00
29-Mar-23,EQ,31.40,36.80,31.40,31.10,35.40,35.25,33.93,43.75,26.55,29188565.00,990328019.30,50414.00
28-Mar-23,EQ,32.00,32.10,30.95,32.00,31.20,31.10,31.39,43.75,26.55,6723842.00,211039965.10,15340.00
27-Mar-23,EQ,33.05,33.25,31.70,32.80,31.90,32.00,32.51,43.75,26.55,5338589.00,173543553.70,11832.00
24-Mar-23,EQ,34.05,34.25,32.55,33.85,32.80,32.80,33.52,43.75,26.55,5172027.00,173344950.55,11898.00
23-Mar-23,EQ,34.30,34.70,33.75,34.05,33.75,33.85,34.18,43.75,26.55,5270652.00,180160892.55,11740.00
22-Mar-23,EQ,34.00,34.40,33.75,33.90,33.90,34.05,34.12,43.75,26.55,4353887.00,148533928.40,7885.00
21-Mar-23,EQ,34.40,34.60,33.80,34.20,33.90,33.90,34.05,43.75,26.55,3156673.00,107487526.50,6699.00
20-Mar-23,EQ,35.00,35.15,34.05,35.20,34.30,34.20,34.38,43.75,26.55,4511052.00,155076075.40,8353.00
